"data e hora","caso de teste","mensagem"
"2021/07/14 22:39:07.856","Consultar Curso Mantis","Iniciou o Teste"
"2021/07/14 22:39:12.370","Consultar Curso Mantis","Abriu o Site"
"2021/07/14 22:39:13.288","Consultar Curso Mantis","Clicou na caixa de pesquisa"
"2021/07/14 22:39:13.324","Consultar Curso Mantis","Limpou a caixa de pesquisa"
"2021/07/14 22:39:13.368","Consultar Curso Mantis","Escreveu Mantis na caixa de pesquisa"
"2021/07/14 22:39:16.100","Consultar Curso Mantis","Clicou no botão lupa"
"2021/07/14 22:39:16.135","Consultar Curso Mantis","Confirmou o texto indicativo na pesquisa do curso Mantis"
"2021/07/14 22:39:16.329","Consultar Curso Mantis","Clicou no botão Matricule-se"
"2021/07/14 22:39:20.926","Consultar Curso Mantis","Confirmou o nome do curso Mantis"
"2021/07/14 22:39:20.955","Consultar Curso Mantis","Confirmou o valor do curso Mantis"
"2021/07/14 22:39:21.177","Consultar Curso Mantis","Concluiu o teste"
